,Compound,Negative,Neutral,Positive,Tweet,account,tweet ago
85,-0.3182,0.796,0.204,0.0,Tributes to lost Volvo Ocean Race yachtsman John Fisher https://t.co/j0eJu2nEox,BBC News (UK),86
86,-0.8271,0.686,0.314,0.0,"RT @BBCWorld: ""I'll do everything I can to make up for my mistake and the damage it's caused."" 

Suspended Australian cricket captain Steve…",BBC News (UK),87
87,-0.4404,0.854,0.146,0.0,"RT @bbcemt: She's been shot, stabbed and even delivered a baby in a toilet. Meet ""Britain's first female bouncer"" 💪 https://t.co/bGeWPJkhuI",BBC News (UK),88
88,-0.4767,0.583,0.311,0.107,PC 'tried to prevent daughter's driving prosecution' https://t.co/rBLsyHECyk,BBC News (UK),89
89,0.1779,0.596,0.179,0.225,Worboys case: Nick Hardwick says justice secretary 'at fault too' https://t.co/dk0jMwuEvz,BBC News (UK),90
90,-0.4404,0.837,0.12,0.044,"RT @bbctms: An 8 wicket defeat for @englandcricket in Mumbai. 

India reach 108 run victory target with more than 4 overs to spare. 

But E…",BBC News (UK),91
91,-0.8555,0.71,0.29,0.0,"RT @BBCr4today: ""Predictions of doom and gloom"" at the time of the EU referendum ""have proved to be wrong"" says Liam Fox - who says the UK…",BBC News (UK),92
92,0.168,0.94,0.0,0.06,RT @BBCMaryam: Today on #BBCBizLive we want to know .. what’s the most you have spent on an Easter egg ? How much is too much ? 0830BST @BB…,BBC News (UK),93
93,0.4019,0.891,0.0,0.109,"RT @BBCPolitics: There's one year to go until #Brexit and the #Brexitcast team marked it with a special podcast, recorded in front of a liv…",BBC News (UK),94
94,0.5423,0.83,0.0,0.17,RT @bbcweather: Sunshine and (for some) morning frost will give way to showers in many places today. Some showers heavy with hail and thund…,BBC News (UK),95
95,0.2023,0.795,0.0,0.205,Bargain Booze firm to file for administration https://t.co/UB91Njelyj,BBC News (UK),96
96,0.0,1.0,0.0,0.0,Musicians hit by management fee 'scam' https://t.co/nfVgRZlP5X,BBC News (UK),97
97,-0.8957,0.203,0.797,0.0,Teenager arrested after hoax bomb threat https://t.co/C4lYzSc9iK,BBC News (UK),98
